1,hello,adele,pop,4
2,stay,kid,pop,5
3,shivers,ed,pop,4
4,Bad Guy ,Billie Ellish ,Electro Pop,5
5,edamame,bbno$,Hip Hop ,4
6,Lost,Maroon5,pop,4
7,Moves like jagger ,Maroon5,pop,3
8,snuff ,slipknot ,Alternative Rock,5
9,Afraid ,The Neighbourhood,Indie,4
10,Somewhere only we know ,Keane,Rock ,5
11,Dancing in my room ,347AIDAN,Indie,3
12,Space bound ,Eminem,Rap ,5
13,Without me ,Eminem,Rap ,4
14,Love the way you lie ,Eminem,Rap ,4
15,The real slim shady ,Eminem,Rap ,5
16,Godzilla ,Eminem,Rap ,5
17,Not afraid,Eminem,Rap ,4
18,Mockingbird,Eminem,Rap ,5
19,Killshot,Eminem,Rap ,2
20,Superman,Eminem,Rap ,4
21,River ,Eminem,Rap ,3
22,Beautifull,Eminem,Rap ,5
23,Ass like that O_O,Eminem,Rap ,5
24,Gnat,Eminem,Rap ,4
25,Bezerk,Eminem,Rap ,5
26,Self Care ,Mac Miller ,Hip Hop ,5
27,Dunno,Mac Miller ,Hip Hop ,5
28,Weekend,Mac Miller ,Hip Hop ,3
29,My favorite part,Mac Miller ,Hip Hop ,2
30,Dang!,Mac Miller ,Hip Hop ,2
31,Right ,Mac Miller ,Hip Hop ,5
32,Surf,Mac Miller ,Hip Hop ,2
33,Hand me down,Mac Miller ,Hip Hop ,5
34,Cinderella,Mac Miller ,Hip Hop ,5
35,Ladder,Mac Miller ,Hip Hop ,2
36,Woods ,Mac Miller ,Hip Hop ,5
37,Hurt feeling,Mac Miller ,Hip Hop ,3
38,The spins ,Mac Miller ,Hip Hop ,4
39,Circles ,Mac Miller ,Hip Hop ,4
40,Whats the use ,Mac Miller ,Hip Hop ,1
41,Programs ,Mac Miller ,Hip Hop ,5
42,Come back to earth ,Mac Miller ,Hip Hop ,2
43,Dilon ka shooter ,Dhinchak Pooja ,R/B,0
44,Selfie manie leli aaj ,Dhinchak Pooja ,R/B,0
45,Daaru ,Dhinchak Pooja ,R/B,0
46,Swag mera style hai ,Dhinchak Pooja ,R/B,0
47,Ek or selfie lene do ,Dhinchak Pooja ,R/B,0
48,I am biker ,Dhinchak Pooja ,R/B,0
49,Sunday morning love you ,Bhim Niroula ,Soul ,5
50,Angel ,Taher Shah,Soul ,1
51,Goosebumps,Travis Scott,Rap ,5
52,SICKO MODE ,Travis Scott,Rap ,4
53,Highest In the room ,Travis Scott,Rap ,5
54,Butterfly Effect,Travis Scott,Rap ,5
55,Antidode,Travis Scott,Rap ,4
56,On my Vibe ,Travis Scott,Rap ,3
57,Interview,Travis Scott,Rap ,1
58,12 Disciples,Travis Scott,Rap ,2
59,I got Bandz ,Travis Scott,Rap ,3
60,YOSEMITE,Travis Scott,Rap ,5
61,295,Sidhu Moose walla,Pop,4
62,Goat,Sidhu Moose walla,Pop,2
63,So High,Sidhu Moose walla,Pop,3
64,Calaboose,Sidhu Moose walla,Pop,1
65,Devil,Sidhu Moose walla,Pop,5
66,Dawood,Sidhu Moose walla,pop,3
67,Us,Sidhu Moose walla,Soul ,4
68,Tochan,Sidhu Moose walla,pop,1
69,Without me ,Halsey ,R/B,5
70,Eastside,Halsey ,R/B,3
71,Bad at love,Halsey ,R/B,4
72,Colors ,Halsey ,R/B,3
73,sorry ,Halsey ,R/B,2
74,"I am not a women, i'm a god ",Halsey ,R/B,3
75,Gasoline,Halsey ,R/B,5
76,Nightmare,Halsey ,R/B,5
77,Graveyard,Halsey ,R/B,3
78,Life's mess,Halsey ,R/B,2
79,Control,Halsey ,R/B,3
80,Walls Could talk ,Halsey ,R/B,3
81,Him and I ,G - Easy ,Rap ,5
82,Legend ,G - Easy ,Rap ,3
83,Sober ,G - Easy ,Rap ,3
84,The Plan ,G - Easy ,Rap ,2
85,But a dream,G - Easy ,Rap ,3
86,That's a lot ,G - Easy ,Rap ,2
87,No Limit ,G - Easy ,Rap ,5
88,Summer in December  ,G - Easy ,Rap ,3
89,No less ,G - Easy ,Rap ,2
90,Love is gone,G - Easy ,Rap ,1
91,WAP,Cardi B ,Rap ,3
92,I like it ,Cardi B ,Rap ,2
93,Up ,Cardi B ,Rap ,2
94,Bodak Yellow ,Cardi B ,Rap ,4
95,Finesse ,Cardi B ,Rap ,5
96,Please me ,Cardi B ,Rap ,3
97,Be care,Cardi B ,Rap ,4
98,Press ,Cardi B ,Rap ,2
99,Ring ,Cardi B ,Rap ,3
100,Money ,Cardi B ,Rap ,1
101,I do ,Cardi B ,Rap ,3
102,Leave the door ,Bruno Mars ,Rock,5
103,Talking to the moon ,Bruno Mars ,Rock,2
104,The Lazy song ,Bruno Mars ,Rock,4
105,That's what i like ,Bruno Mars ,Rock,3
106,When i was your man ,Bruno Mars ,Rock,4
107,Just the way you are ,Bruno Mars ,Rock,4
108,24k Magic,Bruno Mars ,Rock,5
109,Treasure,Bruno Mars ,Rock,3
110,Show me ,Bruno Mars ,Rock,2
111,Versace On the Floor ,Bruno Mars ,Rock,5
112,Moonshine ,Bruno Mars ,Rock,3
113,Our First Time ,Bruno Mars ,Rock,2
114,Truce,Twenty One Pilots,Alternative Rock,5
115,Chlorine ,Twenty One Pilots,Alternative Rock,4
116,Trees,Twenty One Pilots,Alternative Rock,5
117,Ride ,Twenty One Pilots,Alternative Rock,3
118,Level of Concern,Twenty One Pilots,Alternative Rock,3
119,Nico and the Niners,Twenty One Pilots,Alternative Rock,2
120,Heavydirtysoul,Twenty One Pilots,Alternative Rock,4
121,Car Radio ,Twenty One Pilots,Alternative Rock,3
122,My Blood ,Twenty One Pilots,Alternative Rock,5
123,Saturday ,Twenty One Pilots,Alternative Rock,3
124,Heathens ,Twenty One Pilots,Alternative Rock,4
125,Stressed Out ,Twenty One Pilots,Alternative Rock,3
126,Tear In My Heart ,Twenty One Pilots,Alternative Rock,5
127,Jumpsuit,Twenty One Pilots,Alternative Rock,3
128,Sweater Weather ,The Neighbourhood,Indie,5
129,Daddy Issues,The Neighbourhood,Indie,3
130,The Beach ,The Neighbourhood,Indie,3
131,Cry Baby ,The Neighbourhood,Indie,3
132,Stargazing ,The Neighbourhood,Indie,5
133,Prey ,The Neighbourhood,Indie,4
134,Preety boy,The Neighbourhood,Indie,4
135,A little death,The Neighbourhood,Indie,2
136,My Universe ,BTS ,K POP,3
137,Butter ,BTS ,K POP,2
138,4 o clock,BTS ,K POP,5
139,On,BTS ,K POP,4
140,Dynamite ,BTS ,K POP,4
141,MIC drop ,BTS ,K POP,4
142,Blood Sweat & Tear ,BTS ,K POP,5
143,Fake Love ,BTS ,K POP,4
144,Danger,BTS ,K POP,4
145,Lie ,BTS ,K POP,3
146,Fire ,BTS ,K POP,5
147,We don't talk anymore ,Charlie Puth,pop,4
148,One Call Away ,Charlie Puth,pop,5
149,Marvin Gaye ,Charlie Puth,pop,3
150,Dangerously,Charlie Puth,pop,2
151,River ,Charlie Puth,pop,2
152,Suffer ,Charlie Puth,pop,3
153,Attention ,Charlie Puth,pop,4
154,Wolves ,Selena Gomez ,pop,4
155,The Heart wants what it wants ,Selena Gomez ,pop,3
156,It ain't me ,Selena Gomez ,pop,4
157,Who say,Selena Gomez ,pop,5
158,999,Selena Gomez ,pop,2
159,Same old love ,Selena Gomez ,pop,3
160,Back to you ,Selena Gomez ,pop,4
161,Bella Ciao ,Hardwell,EDM ,4
162,Unity,Hardwell,EDM ,5
163,Young Again,Hardwell,EDM ,4
164,Follow me ,Hardwell,EDM ,3
165,Mad man ,Hardwell,EDM ,3
166,We are legends ,Hardwell,EDM ,5
167,Badam,Hardwell,EDM ,3
168,Sally ,Hardwell,EDM ,3
169,More than you know ,Axwell /\ Ingrosso,EDM ,4
170,Sun is shining ,Axwell /\ Ingrosso,EDM ,3
171,Dreamer,Axwell /\ Ingrosso,EDM ,4
172,On my way ,Alan Walker ,EDM ,1
173,Faded,Alan Walker ,EDM ,4
174,I just called to say i love you ,Stevie Wonder ,Soul ,5
175,superstition,Stevie Wonder ,Soul ,3
176,isn't she lovely,Stevie Wonder ,Soul ,2
177,Happy Birthday,Stevie Wonder ,Soul ,4
178,Careless Whisper ,George Michael,Soul ,5
179,jesus to a child ,George Michael,Soul ,3
180,Just the two of us ,Grover Washington jr,Soul ,4
181,Let it flow ,Grover Washington jr,Soul ,3
182,Bellyache,Billie Ellish ,Electro Pop,4
183,Ocean eyes ,Billie Ellish ,Electro Pop,4
184,Therefore i am ,Billie Ellish ,Electro Pop,5
185,idontwannabeyouanymore,Billie Ellish ,Electro Pop,5
186,wish you were gay ,Billie Ellish ,Electro Pop,4
187,Oxytocin,Billie Ellish ,Electro Pop,3
188,Hostage ,Billie Ellish ,Electro Pop,4
189,watch ,Billie Ellish ,Electro Pop,4
190,PILLOWTALK,Zayn ,Dance,3
191,fOol fOr YoU,Zayn ,pop,3
192,Dusk Till Dawn,Zayn ,pop,5
193,Tightrope,Zayn ,pop,5
194,Trampoline,Zayn ,Dubstep,3
